MES|Compras en supermercados en ARS|Compras en shopping en ARS|Total nafta y gasoil en ARS|IPC
ene-17|27.85887208|6.366880791|31.65356104|102
feb-17|25.99420017|5.886706659|28.49663441|104
mar-17|27.78000652|6.635467651|32.6769686|106
abr-17|29.13427222|7.644785923|29.26334331|109
may-17|27.96900468|7.244804581|31.54371849|111
jun-17|29.13271275|8.361616056|34.29878724|112
jul-17|31.18230246|9.514740029|34.19000219|114
ago-17|31.15488094|7.918204194|35.03214621|115
sep-17|30.5215062|7.767509914|34.33411461|118
oct-17|32.44598301|9.137016455|39.22050296|119
nov-17|33.62898266|7.829325947|39.11802841|121
dic-17|40.7663221|13.40385438|43.03934261|125
ene-18|32.47920801|7.940769577|42.77722674|127
feb-18|31.73682455|7.458260429|39.42250564|130
mar-18|36.53129133|9.105067948|45.51124124|133
abr-18|34.11374567|9.404165954|44.52921873|137
may-18|35.13314639|9.597195634|44.4397444|140
jun-18|38.33820975|11.09807277|43.40147|145
jul-18|39.27844996|11.68777329|46.55410711|149
ago-18|39.49190727|9.757202754|52.17924477|155
sep-18|39.925549|9.054234271|57.92901863|165
oct-18|43.42025382|10.62338137|62.11358772|174
nov-18|44.84944601|9.438318097|62.16750373|180
dic-18|57.20395586|16.84739262|66.86762687|184
ene-19|45.43362371|10.00114559|63.06822249|190
feb-19|44.5921449|9.122768289|61.03365606|197
mar-19|51.06569426|11.71503487|68.34277812|206
abr-19|49.62140928|11.26405087|68.79867272|213
may-19|50.77829991|12.32410645|73.3237559|220
jun-19|54.41341962|15.92569103|70.80981789|226
jul-19|55.04448226|15.94400885|78.87845752|230
ago-19|59.67210446|13.98821399|78.23135847|240
sep-19|57.88530641|13.16195559|75.38332529|254
oct-19|66.32557959|16.90221848|80.17383914|262
nov-19|67.94371019|14.97671851|87.60195579|273
dic-19|83.52464429|24.34588484|95.72684069|283
ene-20|70.14501027|15.12764293|90.61056121|290
feb-20|72.49443366|15.78235661|86.25296586|296
mar-20|85.77803109|7.906393272|71.72792935|306
abr-20|75.00959664|0.360682821|49.30865601|310
may-20|78.59452182|0.900569514|65.61666569|315
jun-20|78.2328596|2.88013057|66.22492286|322
jul-20|81.14069622|4.379965608|76.1020082|328
ago-20|80.41197329|4.755124169|85.23047848|337
sep-20|77.05577436|3.853069932|79.07903319|347
oct-20|89.22428105|8.605571329|86.33998201|360
nov-20|91.09350731|12.7003204|93.20010968|371
dic-20|115.8061281|26.22311099|111.6209864|386
ene-21|98.00758325|16.26621264|111.1550288|402
feb-21|92.95423368|16.78142057|109.8787092|416
mar-21|107.2258845|20.81837639|141.2028861|436
abr-21|106.8701859|13.93285462|137.2826958|454
may-21|110.6046946|7.468833466|140.2263141|469
jun-21|116.287893|15.80851028|140.6348038|484
jul-21|125.6585525|26.13035147|161.6870321|498
ago-21|124.84032|25.57703392|156.4442365|510
sep-21|123.0022524|24.63641759|156.3604544|528
oct-21|140.4874873|34.96268198|164.657599|547
nov-21|141.7019607|31.18326067|167.0775108|561
dic-21|183.9831519|53.69028909|179.2818285|582
ene-22|154.5170942|31.34066963|159.8649907|605
feb-22|152.2025734|35.13836009|174.0828266|633
mar-22|168.9825023|40.97352256|207.6701214|676
abr-22|177.1922887|46.05942252|211.944383|717
may-22|179.6415687|48.70403629|227.6462594|753
jun-22|196.1145248|58.00242584|244.4522599|793
jul-22|228.2153447|69.96722357|252.0328976|852
ago-22|225.5081091|56.96881972|269.6361675|911
sep-22|232.1531572|55.68050371|260.9420674|967
oct-22|265.6656889|76.91836134|276.9010312|1029
nov-22|284.7864531|68.72527905|298.8498808|1079
dic-22|359.6676123|114.7239945|325.718426|1135
ene-23|316.5783876|78.536734|320.4164674|1203
feb-23|318.416998|81.81745475|304.2001008|1283
mar-23|363.1483391|92.67812827|371.3810485|1381
abr-23|385.8140669|114.1489597|360.3883025|1497
may-23|388.8971759|121.1690652|387.3466723|1614
jun-23|425.7832827|144.7436823|397.851502|1710
